system_id,evaluation_role,evaluation_fold,family,variant,parent_family,structure,hnf_group,element,natoms,frames,path
POCC__bcc__POCC_07_H0C6__Hf32_Mo32_Ta32_Ti32_Zr32_n160,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_07_H0C6,0,,160,15,dataset/canonical/POCC/aimd/POCC__bcc__POCC_07_H0C6__Hf32_Mo32_Ta32_Ti32_Zr32_n160
POCC__bcc__POCC_08_H0C7__Hf32_Mo32_Ta32_Ti32_Zr32_n160,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_08_H0C7,0,,160,52,dataset/canonical/POCC/aimd/POCC__bcc__POCC_08_H0C7__Hf32_Mo32_Ta32_Ti32_Zr32_n160
POCC__bcc__POCC_09_H0C8__Hf32_Mo32_Ta32_Ti32_Zr32_n160,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_09_H0C8,0,,160,47,dataset/canonical/POCC/aimd/POCC__bcc__POCC_09_H0C8__Hf32_Mo32_Ta32_Ti32_Zr32_n160
POCC__bcc__POCC_10_H0C10__Hf32_Mo32_Ta32_Ti32_Zr32_n160,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_10_H0C10,0,,160,58,dataset/canonical/POCC/aimd/POCC__bcc__POCC_10_H0C10__Hf32_Mo32_Ta32_Ti32_Zr32_n160
POCC__bcc__POCC_11_H0C12__Hf32_Mo32_Ta32_Ti32_Zr32_n160,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_11_H0C12,0,,160,15,dataset/canonical/POCC/aimd/POCC__bcc__POCC_11_H0C12__Hf32_Mo32_Ta32_Ti32_Zr32_n160
POCC__bcc__POCC_12_H0C14__Hf32_Mo32_Ta32_Ti32_Zr32_n160,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_12_H0C14,0,,160,36,dataset/canonical/POCC/aimd/POCC__bcc__POCC_12_H0C14__Hf32_Mo32_Ta32_Ti32_Zr32_n160
POCC__bcc__POCC_13_H1C0__Hf20_Mo20_Ta20_Ti20_Zr20_n100,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_13_H1C0,1,,100,315,dataset/canonical/POCC/aimd/POCC__bcc__POCC_13_H1C0__Hf20_Mo20_Ta20_Ti20_Zr20_n100
POCC__bcc__POCC_14_H1C1__Hf20_Mo20_Ta20_Ti20_Zr20_n100,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_14_H1C1,1,,100,1489,dataset/canonical/POCC/aimd/POCC__bcc__POCC_14_H1C1__Hf20_Mo20_Ta20_Ti20_Zr20_n100
POCC__bcc__POCC_15_H1C2__Hf20_Mo20_Ta20_Ti20_Zr20_n100,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_15_H1C2,1,,100,1152,dataset/canonical/POCC/aimd/POCC__bcc__POCC_15_H1C2__Hf20_Mo20_Ta20_Ti20_Zr20_n100
POCC__bcc__POCC_16_H1C3__Hf20_Mo20_Ta20_Ti20_Zr20_n100,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_16_H1C3,1,,100,3000,dataset/canonical/POCC/aimd/POCC__bcc__POCC_16_H1C3__Hf20_Mo20_Ta20_Ti20_Zr20_n100
POCC__bcc__POCC_17_H1C4__Hf20_Mo20_Ta20_Ti20_Zr20_n100,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_17_H1C4,1,,100,1562,dataset/canonical/POCC/aimd/POCC__bcc__POCC_17_H1C4__Hf20_Mo20_Ta20_Ti20_Zr20_n100
POCC__bcc__POCC_18_H1C5__Hf20_Mo20_Ta20_Ti20_Zr20_n100,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_18_H1C5,1,,100,282,dataset/canonical/POCC/aimd/POCC__bcc__POCC_18_H1C5__Hf20_Mo20_Ta20_Ti20_Zr20_n100
POCC__bcc__POCC_19_H1C6__Hf20_Mo20_Ta20_Ti20_Zr20_n100,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_19_H1C6,1,,100,1385,dataset/canonical/POCC/aimd/POCC__bcc__POCC_19_H1C6__Hf20_Mo20_Ta20_Ti20_Zr20_n100
POCC__bcc__POCC_20_H1C7__Hf20_Mo20_Ta20_Ti20_Zr20_n100,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_20_H1C7,1,,100,1485,dataset/canonical/POCC/aimd/POCC__bcc__POCC_20_H1C7__Hf20_Mo20_Ta20_Ti20_Zr20_n100
POCC__bcc__POCC_21_H1C8__Hf20_Mo20_Ta20_Ti20_Zr20_n100,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_21_H1C8,1,,100,1622,dataset/canonical/POCC/aimd/POCC__bcc__POCC_21_H1C8__Hf20_Mo20_Ta20_Ti20_Zr20_n100
POCC__bcc__POCC_22_H1C10__Hf20_Mo20_Ta20_Ti20_Zr20_n100,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_22_H1C10,1,,100,1452,dataset/canonical/POCC/aimd/POCC__bcc__POCC_22_H1C10__Hf20_Mo20_Ta20_Ti20_Zr20_n100
POCC__bcc__POCC_23_H1C12__Hf20_Mo20_Ta20_Ti20_Zr20_n100,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_23_H1C12,1,,100,1117,dataset/canonical/POCC/aimd/POCC__bcc__POCC_23_H1C12__Hf20_Mo20_Ta20_Ti20_Zr20_n100
POCC__bcc__POCC_24_H1C14__Hf20_Mo20_Ta20_Ti20_Zr20_n100,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_24_H1C14,1,,100,895,dataset/canonical/POCC/aimd/POCC__bcc__POCC_24_H1C14__Hf20_Mo20_Ta20_Ti20_Zr20_n100
POCC__bcc__POCC_25_H2C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_25_H2C0,2,,135,43,dataset/canonical/POCC/aimd/POCC__bcc__POCC_25_H2C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_33_H2C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_33_H2C8,2,,135,96,dataset/canonical/POCC/aimd/POCC__bcc__POCC_33_H2C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_34_H2C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_34_H2C10,2,,135,192,dataset/canonical/POCC/aimd/POCC__bcc__POCC_34_H2C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_35_H2C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_35_H2C12,2,,135,158,dataset/canonical/POCC/aimd/POCC__bcc__POCC_35_H2C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_36_H2C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_36_H2C14,2,,135,158,dataset/canonical/POCC/aimd/POCC__bcc__POCC_36_H2C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_37_H3C0,3,,135,463,dataset/canonical/POCC/aimd/POCC__bcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_38_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_38_H4C0,4,,135,490,dataset/canonical/POCC/aimd/POCC__bcc__POCC_38_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_39_H4C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_39_H4C1,4,,135,493,dataset/canonical/POCC/aimd/POCC__bcc__POCC_39_H4C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_40_H4C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_40_H4C2,4,,135,430,dataset/canonical/POCC/aimd/POCC__bcc__POCC_40_H4C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_41_H4C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_41_H4C3,4,,135,563,dataset/canonical/POCC/aimd/POCC__bcc__POCC_41_H4C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_42_H4C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_42_H4C4,4,,135,514,dataset/canonical/POCC/aimd/POCC__bcc__POCC_42_H4C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_43_H4C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_43_H4C5,4,,135,533,dataset/canonical/POCC/aimd/POCC__bcc__POCC_43_H4C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_44_H4C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_44_H4C6,4,,135,496,dataset/canonical/POCC/aimd/POCC__bcc__POCC_44_H4C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_45_H4C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_45_H4C7,4,,135,542,dataset/canonical/POCC/aimd/POCC__bcc__POCC_45_H4C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_46_H4C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_46_H4C8,4,,135,444,dataset/canonical/POCC/aimd/POCC__bcc__POCC_46_H4C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_47_H4C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_47_H4C10,4,,135,477,dataset/canonical/POCC/aimd/POCC__bcc__POCC_47_H4C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_48_H4C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_48_H4C12,4,,135,526,dataset/canonical/POCC/aimd/POCC__bcc__POCC_48_H4C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__bcc__POCC_49_H4C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_49_H4C14,4,,135,483,dataset/canonical/POCC/aimd/POCC__bcc__POCC_49_H4C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135
