system_id,evaluation_role,evaluation_fold,family,variant,parent_family,structure,hnf_group,element,natoms,frames,path
POCC__fcc__POCC_07_H0C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_07_H0C6,0,,135,286,dataset/canonical/POCC/aimd/POCC__fcc__POCC_07_H0C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_08_H0C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_08_H0C7,0,,135,100,dataset/canonical/POCC/aimd/POCC__fcc__POCC_08_H0C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_09_H0C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_09_H0C8,0,,135,161,dataset/canonical/POCC/aimd/POCC__fcc__POCC_09_H0C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_10_H0C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_10_H0C10,0,,135,158,dataset/canonical/POCC/aimd/POCC__fcc__POCC_10_H0C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_11_H0C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_11_H0C12,0,,135,144,dataset/canonical/POCC/aimd/POCC__fcc__POCC_11_H0C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_12_H0C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_12_H0C14,0,,135,113,dataset/canonical/POCC/aimd/POCC__fcc__POCC_12_H0C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_13_H1C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_13_H1C0,1,,135,263,dataset/canonical/POCC/aimd/POCC__fcc__POCC_13_H1C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_14_H1C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_14_H1C1,1,,135,318,dataset/canonical/POCC/aimd/POCC__fcc__POCC_14_H1C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_15_H1C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_15_H1C2,1,,135,318,dataset/canonical/POCC/aimd/POCC__fcc__POCC_15_H1C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_16_H1C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_16_H1C3,1,,135,331,dataset/canonical/POCC/aimd/POCC__fcc__POCC_16_H1C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_17_H1C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_17_H1C4,1,,135,298,dataset/canonical/POCC/aimd/POCC__fcc__POCC_17_H1C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_18_H1C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_18_H1C5,1,,135,275,dataset/canonical/POCC/aimd/POCC__fcc__POCC_18_H1C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_19_H1C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_19_H1C6,1,,135,326,dataset/canonical/POCC/aimd/POCC__fcc__POCC_19_H1C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_20_H1C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_20_H1C7,1,,135,284,dataset/canonical/POCC/aimd/POCC__fcc__POCC_20_H1C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_21_H1C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_21_H1C8,1,,135,227,dataset/canonical/POCC/aimd/POCC__fcc__POCC_21_H1C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_22_H1C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_22_H1C10,1,,135,242,dataset/canonical/POCC/aimd/POCC__fcc__POCC_22_H1C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_23_H1C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_23_H1C12,1,,135,212,dataset/canonical/POCC/aimd/POCC__fcc__POCC_23_H1C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_24_H1C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_24_H1C14,1,,135,150,dataset/canonical/POCC/aimd/POCC__fcc__POCC_24_H1C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_25_H2C0__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_25_H2C0,2,,90,987,dataset/canonical/POCC/aimd/POCC__fcc__POCC_25_H2C0__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_26_H2C1__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_26_H2C1,2,,90,966,dataset/canonical/POCC/aimd/POCC__fcc__POCC_26_H2C1__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_27_H2C2__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_27_H2C2,2,,90,955,dataset/canonical/POCC/aimd/POCC__fcc__POCC_27_H2C2__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_28_H2C3__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_28_H2C3,2,,90,973,dataset/canonical/POCC/aimd/POCC__fcc__POCC_28_H2C3__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_29_H2C4__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_29_H2C4,2,,90,831,dataset/canonical/POCC/aimd/POCC__fcc__POCC_29_H2C4__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_30_H2C5__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_30_H2C5,2,,90,1011,dataset/canonical/POCC/aimd/POCC__fcc__POCC_30_H2C5__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_31_H2C6__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_31_H2C6,2,,90,812,dataset/canonical/POCC/aimd/POCC__fcc__POCC_31_H2C6__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_32_H2C7__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_32_H2C7,2,,90,904,dataset/canonical/POCC/aimd/POCC__fcc__POCC_32_H2C7__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_33_H2C8__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_33_H2C8,2,,90,918,dataset/canonical/POCC/aimd/POCC__fcc__POCC_33_H2C8__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_34_H2C10__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_34_H2C10,2,,90,923,dataset/canonical/POCC/aimd/POCC__fcc__POCC_34_H2C10__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_35_H2C12__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_35_H2C12,2,,90,867,dataset/canonical/POCC/aimd/POCC__fcc__POCC_35_H2C12__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_36_H2C14__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_36_H2C14,2,,90,861,dataset/canonical/POCC/aimd/POCC__fcc__POCC_36_H2C14__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_37_H3C0,3,,135,229,dataset/canonical/POCC/aimd/POCC__fcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_38_H3C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_38_H3C1,3,,135,371,dataset/canonical/POCC/aimd/POCC__fcc__POCC_38_H3C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_39_H3C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_39_H3C2,3,,135,227,dataset/canonical/POCC/aimd/POCC__fcc__POCC_39_H3C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_40_H3C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_40_H3C3,3,,135,228,dataset/canonical/POCC/aimd/POCC__fcc__POCC_40_H3C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_49_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_49_H4C0,4,,135,541,dataset/canonical/POCC/aimd/POCC__fcc__POCC_49_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135
