parent_family,parent_directory,structure,pocc_index,hnf_group,configuration_index,auid,aurl,compound,species,species_pp,composition,natoms,energy_atom_ev,enthalpy_atom_ev,pearson_symbol_relax,spacegroup_relax,aflow_version,aflowlib_version
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_13_H1C0,13,1,0,s4e:bfe313cb224724f2,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_13_H1C0,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.62697,-9.62697,oI10,44,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_14_H1C1,14,1,1,s4e:59741aa07d442535,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_14_H1C1,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.61084,-9.61084,oI10,44,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_15_H1C2,15,1,2,s4e:ef373011f4941884,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_15_H1C2,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.64489,-9.64489,oI10,44,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_16_H1C3,16,1,3,s4e:1e48d79404aa764b,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_16_H1C3,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.64263,-9.64263,oI10,44,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_17_H1C4,17,1,4,s4e:49ba7f2587888ce6,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_17_H1C4,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.76821,-9.76821,tI10,107,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_18_H1C5,18,1,5,s4e:badd091460bdfe21,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_18_H1C5,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.77053,-9.77053,tI10,107,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_19_H1C6,19,1,6,s4e:f82f702def38f83c,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_19_H1C6,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.63393,-9.63393,oI10,44,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_20_H1C7,20,1,7,s4e:15f759f97d00072a,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_20_H1C7,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.612,-9.612,oI10,44,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_21_H1C8,21,1,8,s4e:70672821f054aec0,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_21_H1C8,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.64478,-9.64478,oI10,44,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_22_H1C10,22,1,10,s4e:80fd6ae48e4fdc44,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_22_H1C10,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.63732,-9.63732,oI10,44,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_23_H1C12,23,1,12,s4e:3638ba3c4ffa8952,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_23_H1C12,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.6247,-9.6247,oI10,44,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_24_H1C14,24,1,14,s4e:c3ae020f017d8382,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_24_H1C14,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.62055,-9.62055,oI10,44,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_25_H2C0,25,2,0,s4e:3a5d4f9aca3c8541,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_25_H2C0,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.84437,-9.84437,mS10,8,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_26_H2C1,26,2,1,s4e:5a0ec1c0a01a7ac5,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_26_H2C1,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.83044,-9.83044,mS10,8,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_27_H2C2,27,2,2,s4e:da88e5601a014814,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_27_H2C2,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.83399,-9.83399,mS10,8,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_28_H2C3,28,2,3,s4e:1e6449fb0d0501fb,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_28_H2C3,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.84401,-9.84401,mS10,8,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_29_H2C4,29,2,4,s4e:7a025869aeb9ce3d,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_29_H2C4,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.84794,-9.84794,mS10,8,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_30_H2C5,30,2,5,s4e:f5ae1ba02e9a867b,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_30_H2C5,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.84795,-9.84795,mS10,8,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_31_H2C6,31,2,6,s4e:79a9819b2ba20a09,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_31_H2C6,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.63804,-9.63804,mS10,8,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_32_H2C7,32,2,7,s4e:776382c741fd37ff,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_32_H2C7,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.8339,-9.8339,mS10,8,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_33_H2C8,33,2,8,s4e:2a0450b8d7155cc3,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_33_H2C8,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.83026,-9.83026,mS10,8,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_34_H2C10,34,2,10,s4e:573c0a6f1955db30,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_34_H2C10,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.84429,-9.84429,mS10,8,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_35_H2C12,35,2,12,s4e:e4392195bc02521f,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_35_H2C12,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.63882,-9.63882,mS10,8,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_36_H2C14,36,2,14,s4e:fe7669126dcd07d3,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_36_H2C14,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.84415,-9.84415,mS10,8,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_37_H3C0,37,3,0,s4e:fe2746528b7504bc,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_37_H3C0,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.83969,-9.83969,tI10,107,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_38_H3C1,38,3,1,s4e:a810ede098632d7e,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_38_H3C1,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.81336,-9.81336,tI10,107,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_39_H3C2,39,3,2,s4e:1849283da642a17c,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_39_H3C2,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.76059,-9.76059,tI10,107,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_40_H3C3,40,3,3,s4e:9cb9c14d0e3ab18e,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_40_H3C3,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.77296,-9.77296,tI10,107,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
